collaborator,collaboration
Reynaldo Melian,Trumpet
Reynaldo Pérez,Flute
Reynard Birtha,Trumpet
Reynold Scott,"Baritone Saxophone, Flute"
Rez Abassi,Guitar
Rez Abbasi,Guitar
Reza Askari,Bass
Rhada Shottam,Vocals
Rhani Krija,Percussion
Rhett Lawrence,Programmed By [Keyboards On Original Rhythm Tracks]
Rhetta Hughes,Vocals [Singers]
Rhiannon,Vocals
Rhoda Averbach,Voice [Scream]
Rhoda Blount,Vocals
Rhonda Richmond,Backing Vocals
Rhonda Silver,Vocals
Rhonda Smith,"Acoustic Bass, Electric Bass"
Rhonghea Southern,Guitar
Rhonny Ventat,Alto Saxophone
Ria Currie,Lead Vocals
Ria Joy,Lead Vocals
Riaan Vosloo,Bass
Riaz Khabirpour,Guitar
Ribo B. Boulding,"Percussion, Congas"
Ric Bendel,Trumpet
Ric Colbeck,Trumpet
Ric Culver,Trombone
Ric Desilva,Percussion
Ric DeSilva,Vocals
Ric Fierabracci,Bass
Ric Kennedy,Trombone
Ric Molina,Guitar
Rica Moore,Alto Vocals
Ricard Alexis,Bass
Ricard Cheib,Percussion
Ricard Miralles,Piano
Ricard Österstam,"Drums, Percussion, Electronic Drums"
Ričardas Kukulskis,Trumpet
"Ricardo ""Tiki"" Pasillas",Backing Vocals [Background Vocals]
Ricardo (9),Guitar
Ricardo Arias,"Performer [Bass-balloon Kit], Design, Layout"
Ricardo Bozas,Percussion
Ricardo Brasil,Percussion
Ricardo Brog,"Timbales, Congas, Percussion [Small]"
Ricardo Calafate,Electric Guitar
Ricardo Chimelis,Percussion
Ricardo Donoso,Drums
Ricardo Dos Santos,Double Bass [Upright Bass]
Ricardo Freitas,Bass
Ricardo Galeazzi,Bass
Ricardo Gallo,"Composed By, Piano"
Ricardo Granillo,Bass
Ricardo Itaborahy,Keyboards And Vocals
Ricardo Lagomasino,"Drums, Mixed By, Mastered By"
Ricardo Lew,Electric Guitar
Ricardo Massarrao,Trombone
Ricardo Mateus (2),Percussion
Ricardo Mazzi,Drums
Ricardo Monzon,Percussion
Ricardo Peixoto,"Guitar, Synthesizer [Guitar]"
Ricardo Pontes,Flute
Ricardo Reis,Drums
Ricardo Ribeiro (2),"Soprano Clarinet, Bass Clarinet"
Ricardo Rocha,Portuguese Guitar
Ricardo Rodriguez (7),Bass
Ricardo Salas,Bass
Ricardo Santos (5),Bass
Ricardo Sanz,Bass [Electric Bass]
Ricardo Silveira,Guitar
Ricardo Silviera,Guitar
Ricardo Solis,Percussion
Ricardo Strobert,Alto Saxophone
Ricardo Tejero,Tenor Saxophone [Tenor Sax]
Ricardo Torres,"Congas, Timbales, Percussion"
Ricardo Toscano,Alto Saxophone
Ricardo Tosi,Drums
Ricardo Vilas,"Guitar, Voice"
Riccardo Arrighini,Piano
Riccardo Bertozzini,Guitar
Riccardo Bianchi,Guitar
Riccardo Biancoli,Drums
Riccardo Biseo,"Piano, Keyboards"
Riccardo Chiaberta,Drums
Riccardo Chiarion,Electric Guitar
Riccardo Crotti,Double Bass
Riccardo Dal Frà,Bass
Riccardo Del Fra,Bass
Riccardo Farnea,Voice [Megaphone]
Riccardo Fassi,Piano
Riccardo Felice,"Percussion, Drums"
Riccardo Fioravanti,Double Bass
Riccardo Galardini,Electric Guitar
Riccardo Garzoni,"Guest, Piano"
Riccardo Ienna,"Drums, Percussion"
Riccardo Lay,Bass
Riccardo Lo Bue,Bass [Five String & Fretless]
Riccardo Luppi,Tenor Saxophone
Riccardo Luppi (2),Flute
Riccardo Magini,Percussion
Riccardo Martini,Vocals [Italian]
Riccardo Massari,Piano
Riccardo Morpugo,Piano
Riccardo Onori,Electric Guitar
Riccardo Pittau,Trumpet
Riccardo Strobert,Flute
Riccardo Tosi,Drums
Riccardo Trasselli,Contrabass
Riccardo Zegna,Piano
Rich Acciavatti,Bass
Rich Armandi,Acoustic Bass
Rich Aronson,Piano
Rich Berkeley,Trombone
Rich Berry,Percussion
Rich Bice,Trumpet
Rich Breen,Percussion [Tibet]
Rich Brown,Bass
Rich Burns,Alto Saxophone
Rich Byrd,Trumpet
Rich Carlson (2),"Baritone Saxophone, Bass Clarinet"
Rich Chiaraluce,Tenor Saxophone
Rich Coble,Trombone
Rich Cohen,Tenor Saxophone
Rich Cole,Saxophone
Rich Collier (2),Piano
Rich Condiff,"Saxophone, Flute"
Rich Cooper,Trumpet
Rich Daniels,"Soprano Saxophone, Leader"
Rich Daviston,Alto Saxophone
Rich DeRosa,Drums
Rich Dole,Trombone
Rich Eames,Piano
Rich Echols,Bass
Rich Ervin,"Alto Saxophone, Flute"
Rich Garrard,Bass
Rich Girard,Bass
Rich Goldstein (2),Trombone
Rich Gross,Saxophone
Rich Haering,Trumpet [Lead]
Rich Halley,Tenor Saxophone
Rich Harney,Keyboards
Rich Huang,Percussion
Rich Inouye,Alto Saxophone
Rich Jacobs,Engineer [Organ And Drums]
Rich Johnson (2),Trumpet
Rich Jones (6),Tenor Saxophone
Rich Kremer,Bass
Rich Lamb,Electric Bass
Rich Lasner,Electric Guitar
Rich Lataille,Saxophone
Rich Loose,Bass
Rich Lyne,Percussion [Aux.]
Rich Maloof,Electric Guitar
Rich Maslach,Drums
Rich Matschulat,Drums
Rich McVeigh,Trombone
Rich Messbauer,Bass
Rich Moore (3),Alto Saxophone
Rich Moss,Trombone
Rich Nordskog,"Bass, Producer, Written-By"
Rich O'Donnell,Percussion
Rich O'Meara,"Vibraphone [Vibes], Percussion"
Rich Owen,Piano
Rich Pellegrin,"Piano, Producer"
Rich Peron,Trumpet
Rich Perry,Tenor Saxophone
Rich Rajewski,Trumpet
Rich Redmond,Drums
Rich Reeds,"Saxophone [Tenor], Flute"
Rich Rice,Alto Saxophone
Rich Richardson,Trombone
Rich Rosenthal,Guitar
Rich Rosenzweig,"Drums, Bells"
Rich Rothenberg,Tenor Saxophone
Rich Rousch,"Trombone [Bass], Horn [Baritone]"
Rich Roush,"Trombone [Bass], Horn [Baritone]"
Rich Ruhlen,"Trombone, French Horn, Trumpet"
Rich Russo,Double Bass
Rich Sallee,Bass
Rich Sallee (2),Trombone
Rich Schmunk,Guitar
Rich Shanklin (2),Baritone Saxophone
Rich Sigler,Trumpet
Rich Stein,Percussion
Rich Stitzel,Percussion
Rich Syracuse,Bass
Rich Taylor (2),Guitar
Rich Theurer,Trumpet
Rich Thompson,Drums
Rich West,"Percussion, French Horn, Accordion"
Rich Willey,Trombone
Rich Williams,Alto Saxophone
Rich Zukor,"Drums, Backing Vocals"
"Richard ""Dick"" Fullbright",Bass
Richard A. McGhee III,Flute
Richard Accart,"Tenor Saxophone, Flute [Transverse, Douces, Hindu], Performer [Bird Calls, Souffles Divers]"
Richard Ahmad Pechoc,Piano
Richard Ajileye,Percussion
Richard Allen,Drums
Richard Andersson (6),Electric Bass
Richard Anstey,"Double Bass [Contrabass], Vocals [Vocalizations]"
Richard Aplanalp,Baritone Saxophone
Richard Appleman,Bass
Richard Apte,Bass
Richard Avison,Trombone
Richard Bailey,Drums
Richard Baker (2),Drums
Richard Bamford,Drums
Richard Baratta,Drums
Richard Barnard,Arranged By [Piano]
Richard Barr (3),Drums
Richard Barrata,Percussion
Richard Barz,"Baritone Saxophone, Alto Clarinet, Bass Clarinet, Producer, Contractor"
Richard Bean,"Lead Vocals, Timbales"
Richard Beaudet,Saxophone
Richard Beirach,Piano
Richard Bennett,Guitar
Richard Berg (2),Vocals
Richard Berggren,"Trumpet, Flugelhorn"
Richard Bergmann,Trombone
Richard Berkeley,Trombone [Lead]
Richard Beswick,Guitar
Richard Bierach,Piano
Richard Blanco Uribe,"Bass, Contrabass"
Richard Bolton (3),Guitar
Richard Bona,Bass
Richard Bonnet,"Guitar, Composed By, Producer"
Richard Boone,Trombone
Richard Boukas,"Acoustic Guitar, Electric Guitar, Vocals"
Richard Bourk,Drums
Richard Bradshaw (4),[Piano Tuning]
Richard Brandle,Technician [Player Piano Simulation Programmed By]
Richard Bravo,Percussion
Richard Breckne,Technician [Piano Technician]
Richard Brook,Percussion
Richard Brooks,Trumpet
Richard Bruton,Saxophone
Richard Bullock,Trombone
Richard Burdell,"Trumpet, Flugelhorn"
Richard Busiakiewicz,Piano
Richard Calandra,Percussion
Richard Calhoun,Drums
Richard Carter (4),Acoustic Bass
Richard Chamberlain (2),Trombone
Richard Cheese,Vocals
Richard Cholakian,Drums
Richard Clark (15),Trumpet
Richard Clarke (5),Trumpet
Richard Clay,Flute
Richard Clements,Piano
Richard Coburn (3),Piano
Richard Coldman,"Guitar [6 String And 12 String Amplified Acoustic], Performer [Metal Items, Foam, Barry Leigh's Motorised Bow]"
Richard Cole (3),Tenor Saxophone
Richard Comte,Guitar
Richard Cooper (2),Trumpet
Richard Cottle,Keyboards
Richard Craig,Flute
Richard Crooks,Drums
Richard Cummings,Keyboards
Richard Curry,Drums
Richard Cuvillier,Trumpet
Richard D. Cole,Saxophone
Richard Dale (3),Trumpet
Richard Dallaire,Drum
Richard Daniel,Keyboards
Richard Davis (2),Bass
Richard Day (5),Percussion
Richard De Rosa,Drums
Richard Deighton,Bass
Richard Dell,Trumpet
Richard Deutsch,"Electric Guitar, Vocals"
Richard Dobkowski,Trumpet
Richard Domek,"Guest, Piano"
Richard Downs,Bass
Richard Drexler,Piano
Richard Drexler (2),Piano
Richard Druz,"Drums, Percussion, Timbales"
Richard Dworkin,Drums
Richard Early (2),Trombone
Richard Eddy,Keyboards
Richard Edward,Trombone [Bass]
Richard Edwards (2),Trombone
Richard Egües,Flute
Richard Eisenstein,Synthesizer
Richard Ellington,Piano
Richard Elliot,Saxophone
Richard Endlich,"Banjo, Guitar"
Richard Ethier,Technician [Drum]
Richard Evans,Arranged By [String And Vocal Arrangements]
Richard Evans (2),Bass
Richard Exall,Alto Saxophone
Richard F. Jones,Trumpet
Richard Fairhurst,"Piano, Electric Piano [Rhodes], Synthesizer [Synths]"
Richard Festinger,"Guitar [Amplified Guitar], Percussion"
Richard Feves,Acoustic Bass
Richard Filz,"Drums, Percussion"
Richard Fisher,Guitar
Richard Foot,Double Bass
Richard Ford (13),Flute [C And Alto]
Richard Foy,Saxophone
Richard Franke,Baritone Saxophone
Richard Gagnon,Trombone
Richard Galliano,"Accordion, Synthesizer [Moog], Trombone, Organ"
Richard Garcia,Guitar
Richard Garoogian,Electric Piano
Richard Germanson,Piano
Richard Gilman-Opalsky,"Drums, Percussion"
Richard Given,"Trumpet, Flugelhorn"
Richard Gordon,Vocals
Richard Grando,Tenor Saxophone
Richard Grant (2),Trumpet
Richard Granville-Smith,"Piano, Accordion"
Richard Green (14),Vocals
Richard Greene (3),Vocals
Richard Grossman,Piano
Richard Güth,Electric Guitar
Richard Hackett,Drums
Richard Hager,Trombone
Richard Hallebeek,Acoustic Guitar
Richard Hammond,Bass
Richard Hardy,Flute
Richard Harper,Piano
Richard Harris (5),Trombone
Richard Harrison,Drums
Richard Hauer,Guitar
Richard Hendricks,Bass
Richard Henry,Trombone [Bass]
Richard Hilton,Keyboards
Richard Hindes,Bass
Richard Hindls,Piano
Richard Hixson,Trombone
Richard Holmes,Piano
Richard Homme,Electric Bass
Richard Horowitz,"Timpani, Percussion"
Richard Howse,Alto Saxophone
Richard Hunter (2),Percussion
Richard Huntley,Drums
Richard Hurwitz,Trumpet
Richard Iacona,Piano
Richard Iles,Trumpet
Richard Isaiah,Trombone
Richard James Burgess,Drums
Richard Jeffries,Bass
Richard Jensen,Percussion
"Richard Jess Brown, Jr.",Bass
Richard Johansson (3),Trombone
Richard Johnson (6),Piano
Richard Jones (20),Saxophone
Richard Keene,Tenor Saxophone
Richard Kelley,Trumpet
Richard Kennedy (5),Trombone
Richard Kent,"Tenor Saxophone, Flute"
Richard Kermode,Keyboards
Richard Kimball,Grand Piano
Richard Kingsley,Bass [Second]
Richard Klammer,Trumpet
Richard Koch,Trumpet
Richard Kroczek,"Guitar, Electric Guitar, Violin, Violin [El. Housle]"
Richard Kubernát,Trumpet
Richard L. Mason,Trombone
Richard Lacy,"Keyboards, Programmed By"
Richard Lake,Tenor Vocals
Richard Lalonde,"Bass Clarinet, Flute, Tenor Saxophone, Soprano Saxophone"
Richard Landrum,Percussion
Richard Landry,Tenor Saxophone
Richard Lapka,Trombone
Richard Laughlin,Trumpet
Richard Lee (6),Double Bass
Richard Lee Wendell,Trumpet
Richard Lee Wiggins,Drums
Richard Leigh (4),Alto Saxophone
Richard Leigh Harris,Piano
Richard Leith,Trombone
Richard Lems,Drums
Richard Leo Johnson,"Acoustic Guitar, Electric Guitar, Twelve-String Guitar"
Richard Lotter,Trumpet [1st]
Richard Lowman,Piano
Richard Lozon,Alto Saxophone
Richard Lumpkin,Electric Bass
Richard M. Jones,Piano
Richard M. Sudhalter,"Cornet, Trumpet, Flugelhorn"
Richard Madariaga,Electric Guitar
Richard Maggioni,Piano
Richard Malcom,Percussion
Richard Maloof,Bass
Richard Manetti,Guitar
Richard Marcangelo,Drums
Richard Marriott,"Trombone, Keyboards, Vocals"
Richard Martin (3),Guitar
Richard Martinez,"Electric Piano, Organ"
Richard Marx,Arranged By [Vocals]
Richard Mathews,"Keyboards, Synthesizer"
"Richard Maurer, Jr",Percussion
Richard McGhee (2),Saxophone
Richard McGuane,"Alto Saxophone, Clarinet, Soloist"
Richard McLean (2),Bass
Richard Meisterman,Trumpet
Richard Mittwede,Trombone
Richard Moma,"Baritone Saxophone, Clarinet"
Richard Montgomery,Vocals
Richard Moore (11),"Drums, Percussion"
Richard Moten,Bass
Richard Murphy (3),Trumpet
Richard Nanista,Bass
Richard Nash,Trombone
Richard Nelson,Guitar
Richard Nelson (8),Trombone
Richard Newby,"Drums, Percussion"
Richard Niles,"Acoustic Guitar, Classical Guitar, Backing Vocals"
Richard Nixon,Voice
Richard Noah Young,Bass
Richard O'Callahan,"Soprano Saxophone, Tenor Saxophone"
Richard O'Connell,Drums
Richard Ochalski,Bass
Richard Olatunde Baker,"Percussion [Percussions], Backing Vocals"
Richard Oppenheim,Saxophone
Richard Oschanitzky,Piano
Richard Österreicher,Guitar
Richard Oxtot,"Double Bass [Bass Fiddle], Tuba"
Richard Page,Vocals
Richard Parrott,Electric Guitar
Richard Patterson (2),Bass
Richard Patterson (3),Flute
Richard Payne,Bass
Richard Payne (3),Bass
Richard Pearce (5),Trumpet
Richard Pechota,Bass
Richard Peck,Tenor Saxophone
Richard Percival,Saxophone
Richard Perry (2),Tenor Saxophone
Richard Person,Trumpet
Richard Pickett (4),Drums
Richard Pierce,Bass
Richard Portier,Drums
Richard Powell,Percussion
Richard Powell (5),Piano
Richard Poynton,Guitar
Richard Pratt (2),Drums
Richard Prechtl,Trumpet
Richard Provençal,Drums
Richard Pryce (2),Double Bass
Richard Pulin,Trombone
Richard Pywell,Trombone
Richard Ranti,Bassoon
Richard Raux,Tenor Saxophone
Richard Redmond (2),Percussion
Richard Rehwald,Bass
Richard Reid,Bass
Richard Resnicoff,Guitar
Richard Rhypps,Piano
Richard Ring,Guitar
Richard Rodney Bennett,Keyboards
Richard Rodriguez,Trumpet
Richard Rose (3),Keyboards
Richard Ross,Drums
Richard Rothenberger,"Organ, Synthesizer [Moog], Mellotron [Kedama]"
Richard Rothfus,"Bongos, Drums, Percussion"
Richard Rousselet,Trumpet
Richard Ruotolo,Trombone
Richard Ruttenberg,"Piano, Synthesizer"
Richard Sadler,Bass
Richard Sanchez (3),Alto Saxophone
Richard Sarpola,Bass
Richard Sasnow,Electric Piano
Richard Saunders (8),Bass
Richard Savoie,Tenor Saxophone
Richard Schumacher,"Written-By, Guitar"
Richard Scott,"Synthesizer [Buchla Lightning, Analogue], Sampler, Effects [Processing]"
Richard Seals II,Drums
Richard Searle (2),Bass
Richard Sega,Bass
Richard Shaw,"Double Bass [Ac Bass], Electric Bass"
Richard Shulman,Piano
Richard Simm,Tenor Saxophone
Richard Simmons (2),Bass
Richard Simon (4),Bass
Richard Simoneau,Trumpet
Richard Sinclair,"Bass, Vocals"
Richard Skinner (2),Contrabassoon
Richard Slade,Vocals
Richard Smith,Guitar
Richard Smith (25),Guitar
Richard Smith (3),Drums
Richard Sohm,Percussion
Richard Spaven,Drums
Richard Spencer,Flute
Richard Steacker,Guitar
Richard Steffen,Trumpet
Richard Stitzel,Percussion
Richard Stokes (2),Guitar
Richard Sudhalter,"Trumpet, Flugelhorn"
Richard Sussman,Piano
Richard Swift,Piano
Richard Szöke,Drums
Richard Tabnik,Alto Saxophone
Richard Taylor (14),Drums
Richard Taylor (2),Flute
Richard Tee,Piano
Richard Teitelbaum,Synthesizer
Richard Thompson,"Piano, Organ"
Richard Thompson (3),"Piano, Organ"
Richard Todd,Saxophone
Richard Torres,Saxophone
Richard Trépanier,"Soprano Saxophone, Tenor Saxophone"
Richard Turegano,"Producer, Piano, Composed By"
Richard Turner (3),Trumpet
Richard Underhill,Baritone Saxophone
Richard Vainio,Guitar
Richard Vance,"Featuring, Trumpet"
Richard von Holberg,Double Bass
Richard Waller III,Drums
Richard Weber,Saxophone
Richard West (5),Bass
Richard Wetherall,Piano
Richard Wheeler (3),Saxophone
Richard Whigley,Trombone
Richard White,Alto Saxophone
Richard White (8),Guitar
Richard Whitehouse,Piano
Richard Whiteman,Piano
Richard Williams,Trumpet
Richard Williams (4),Bass
Richard Winter (3),Trombone
Richard Wise (2),Piano
Richard Woodbury,"Tabla, Percussion"
Richard Woodson (2),"Guitar, Composed By, Producer, Design [Cover Design]"
Richard Wyands,Piano
Richard Wynston,Drums
Richard Youngstein,Bass
Richard Zimmerman,Piano
Richarda Abrams,Voice
Richi Corpolongo,"Alto Saxophone, Sopranino Saxophone, Soprano Saxophone, Flute, Piccolo Flute, Clarinet"
Richi Kamuca,Tenor Saxophone
Richie Baron,Drums
Richie Barshay,"Drums, Percussion"
Richie Buckley,Tenor Saxophone
Richie C. Robertson,Bass [Uncredited]
Richie Caruso,Trombone
Richie Cole,Alto Saxophone
Richie Conn,Saxophone [Tenor]
Richie Crabtree,Piano
Richie Ferrer,Bass
Richie Flores,Percussion
Richie Frost,Drums
Richie Gajate-Garcia,Percussion
Richie Goldberg,Drums
Richie Goods,Bass
Richie Harrison,Drums
Richie Havens,Vocals
Richie Hayward,Drums
Richie Hohenburger,Guitar
Richie Kamuca,Tenor Saxophone
Richie Miletic,Acoustic Guitar
Richie Miller (2),Drums [Uncredited]
Richie Morales,Drums
Richie Palys,Trombone
Richie Perri,Alto Saxophone
Richie Powell,Piano
Richie Schwarz,"Drums, Percussion, Xylophone"
Richie Thomson,Drums
Richie Vitale,Trumpet
Richie West,Drums
Richy Stano,Guitar
"Rick ""Ripp"" Watford",Guitar
Rick Acosta,Trombone
Rick Adkins,Trumpet [Uncredited]
Rick Anderson (2),Drums
Rick Aspel,Trumpet
Rick Bailey (6),Trombone
Rick Baker (2),Trumpet
Rick Baptist,Trumpet
Rick Basset,"Keyboards, Piano"
Rick bassett,"Keyboards, Piano"
Rick Bell,Saxophone
Rick Bell (3),Trombone
Rick Bell (4),Tenor Saxophone
Rick Bezouska,Trumpet
Rick Blanc,Trombone [Bass]
Rick Braun,Trumpet
Rick Brown (6),Trumpet
Rick Carlson (2),Piano
Rick Centalonza,"Alto Saxophone, Tenor Saxophone"
Rick Chamberlain,Trombone
Rick Chandler (3),"Leader, Piano"
Rick Condit,Baritone Saxophone
Rick Considine,Drums
Rick Cook (4),Trumpet
Rick Cooper (2),Trombone
Rick Cornish,Guitar
Rick Cox,"Guitar, Bass Clarinet, Sampler"
Rick Cox (4),Trumpet
Rick Crane,Bass
Rick Cranson,"Drums [Gongs, Cymbals]"
Rick Culver,Trombone
Rick Cutler,Drums
Rick Danko,Acoustic Bass
Rick Davies (3),Trombone
Rick Davis,Tenor Saxophone
Rick Deja,"Alto Saxophone, Soprano Saxophone, Flute"
Rick Dekovessey,Percussion
Rick Dilling,Drums
Rick DiMuzio,"Tenor Saxophone, Flute"
Rick Dior,"Drums, Engineer, Mixed By, Producer"
Rick Doll,Bass
Rick Faulkner,Trombone
Rick Fay,Saxophone
Rick Fenn,Guitar
Rick Ford,"Musician, Electric Bass, Producer, Arranged By [Additional Arranging]"
Rick Frigo,Drums
Rick Gallwey,Percussion
Rick Gardner,"Performer [Big Band], Trumpet"
Rick Gazda,Trumpet
Rick Germanson,Piano
Rick Gratton,Drums
Rick Grech,Bass
Rick Hammett,"Trumpet, Flugelhorn"
Rick Hanby,Percussion
Rick Hannah,Electric Guitar
Rick Harris (9),"Vocals, Piano, Trumpet, Flugelhorn, Producer, Mixed By"
Rick Hawkins (2),Percussion [Traps]
Rick Haydon,Guitar
Rick Helzer,Piano
Rick Henderson,Alto Saxophone
Rick Henly,Trumpet
Rick Hills,Piano
Rick Hirsch (2),Baritone Saxophone
Rick Hollander,Drums
Rick Holmes,Voice [Announcer]
Rick Homme,Bass
Rick Horn,"Trumpet [Lead], Flugelhorn"
Rick Houle,Bass
Rick Iannacone,Guitar
Rick Jackson,Keyboards
Rick Jaeger,Drums
Rick Jensen,"Saxophone [Alto], Clarinet, Recorder"
Rick Jones,Drums
Rick Jordan (3),"Trumpet, Flugelhorn, Valve Trombone"
Rick Keller,Saxophone
Rick Kelly,"Synthesizer [Synclavier, Jupiter 8, Prophet]"
Rick Kennedy,Trombone
Rick Kiefer,Trumpet
Rick Kilburn,Bass
Rick Kitaeff,"Electric Piano, Synthesizer, Gamelan, Percussion"
Rick Kodramaz,Bass
Rick Kriska,Flute
Rick Laird,Bass
Rick Laughlin,Keyboards
Rick Lawn,"Tenor Saxophone, Flute, Clarinet"
Rick Lazar,Percussion
Rick Leppanen,Double Bass
Rick Lillard,Trombone
Rick Littlefield,Guitar
Rick Lotter,Drums
Rick Lynn,Percussion [Aux.]
Rick Mandyck,Alto Saxophone
Rick Mandyke,Tenor Saxophone
Rick Margitza,Tenor Saxophone
Rick Marotta,Drums
Rick Matle,Recorded By [Vocal]
Rick Matt,"Soprano Saxophone, Alto Saxophone, Tenor Saxophone, Baritone Saxophone"
Rick McCarthy,"Trombone, Tuba"
Rick McClelland,Bass
Rick McLaughlin,Bass
Rick Merrick (2),"Tenor Saxophone, Flute"
Rick Montalbano,Drums
Rick Montalbano (2),Keyboards
Rick Moose,Trumpet
Rick Morrison,"Soprano Saxophone, Alto Saxophone, Tenor Saxophone, Flute, Lyricon"
Rick Morrison (4),Guitar
Rick Nadson,Trombone
Rick O'Conner,Drums
Rick Oxendine,Bass
Rick Page,Trumpet
Rick Pareta,"Performer [Actor], Voice"
Rick Parker (3),Trombone
Rick Peckham,Electric Guitar
Rick Perry,Tenor Saxophone
Rick Petrone,Bass
Rick Porterfield,Baritone Vocals
Rick Quintanal,Drums
Rick Riso,Vocals
Rick Robertson,"Soprano Saxophone, Tenor Saxophone, Flute, Producer"
Rick Roe,Piano
Rick Rosato,Bass
Rick Rosie,Bass
Rick Rowland,Guitar
Rick Rozie,Bass
Rick Saffron,Piano
Rick Savage (2),Trumpet
Rick Sebastian,Drums
Rick Sebastien,Drums
Rick Shandling,Drums
Rick Sharp (2),Trumpet
Rick Shaw,"Acoustic Bass, Electric Bass"
Rick Smith (2),Synthesizer [Additional]
Rick Smith (21),Guitar
Rick Smith (6),Percussion
Rick Smith (8),Saxophone
Rick Steffen,"Trumpet, Flugelhorn"
Rick Steffens,Bass
Rick Stepton,Trombone
Rick Stitzel,Trumpet
Rick Stone (10),Alto Saxophone
Rick Strauss,Guitar
Rick Tait,"Co-Producer, Keyboards, Trumpet, Flugelhorn"
Rick Tate (2),"Trumpet, Flugelhorn"
Rick Taylor (5),Trombone
Rick Trager,Trombone
Rick Trolsen,Trombone
Rick VanMatre,"Tenor Saxophone, Clarinet"
Rick Visone,Drums
Rick Wahlstein,Trumpet
Rick Wald,"Baritone Saxophone, Bass Clarinet"
Rick Walsh (2),Trombone
Rick Whitehead,Guitar
Rick Wilkins,"Clarinet, Tenor Saxophone"
Rick Williams (10),"Tenor Saxophone, Flute, Clarinet"
Rick Wolff (3),Bass
Rick Wolkins,Trumpet
Rick Wygant,Trumpet
Rick Zelle,Piano
Rick Zunigar,Guitar
Rickard Brodén,Trombone
Rickard Johansson,Trombone
Rickard Krantz,Pedal Steel Guitar
Rickard Nettermalm,Drums
Rickard Olson,Drums
Rickard Sandström,Trombone
Rickey Minor,Bass
Rickey Trent,Trumpet
Rickey Washington,Soprano Saxophone
Rickey Woodard,Tenor Saxophone
Rickie Monie,Piano
Ricky Adorno,Bass
Ricky Brauer,Tenor Saxophone
Ricky Castrillo,Guitar
Ricky Cherry,Piano
Ricky Cosentino,Percussion
Ricky Ford,Tenor Saxophone
Ricky Gonzalez,"Keyboards, Piano, Programmed By"
Ricky Guran,"Trombone, Vocals, Performer [Water]"
Ricky Hitchcock,Guitar
Ricky Keller,Bass
Ricky Lawson,Drums
Ricky Lewis (4),Congas [Congo Drums]
Ricky Loza,Drums
Ricky Malichi,Drums
Ricky Martin (2),Vocals
Ricky Murray,Vocals
Ricky Nelson (4),Trombone
Ricky Peterson,Keyboards
Ricky Ravelo,Bass
Ricky Rodrigues,Bass
Ricky Rodriguez,Bass
Ricky Sabatés,Guitar
Ricky Sebastian,Drums
Ricky Swuem,"Tenor Saxophone, Soprano Saxophone, Clarinet, Flute"
Ricky Sylvia,Backing Vocals
Ricky Wahlstein,Trumpet
Ricky Wellman,Drums
Ricky Welsh,Trumpet
Ricky Woodward,Tenor Saxophone
Rico Baumann,Drums
Rico Belled,Bass
Rico Garcia,Percussion
Rico Merlo,Trumpet
Rico Reyes,Percussion
Rico Rodriguez,Trombone
Rico Tyler,Keyboards
Rida Stitou,"Castanets [Krakeb], Vocals"
Riedel Van Kleef,Vocals
Rieko Okuda,"Piano, Electric Piano [Fender Rhodes]"
Rien de Reede,Flute
Rienk Rienks,Piano
Rigas Vorgias,Trumpet
Rigby Powell,Trumpet
Rigmor Gustafsson,Lead Vocals
Rigo Winterstein,Guitar [Solo-Gitarre]
Rigoberto Velez,Trumpet
Riho Lilje,Guitar
Riitta Paakki,Piano
Rik Fennis,Guitar
Rik Mol,Trumpet
Rik Van Den Berg,Saxophone
Rik Wright,"Guitar, MIDI Controller [Sequencer], Loops, Sampler"
Rika Tanaka,Backing Vocals
Rikiya Higashihara,Drums
Rikki Borkum,Double Bass
Riko Goto,Piano
Riku Järvinen,"Bass, Guitar, Backing Vocals"
Riley Bandy,Alto Saxophone
Riley Fortier,Vocals [Members Of The Pacific Youth Choir]
Riley Hampton,Alto Saxophone
Riley Mulherkar,Trumpet
Riley Mullins,Trumpet
Riley Norris,Trumpet
Riley Weston,"Saxophone, Clarinet"
Rilwan Fagbemi,Saxophone [Baritone]
Rim Kwaku Obeng,"Drums, Percussion"
Rimantas Brazaitis,Tenor Saxophone
Rimona Francis,Vocals
Rinde Eckert,Voice
Riner Scavally,Acoustic Guitar
Riner Scivally,Guitar
Ringo (11),"Organ, Guitar"
Ringo Brill,Percussion
Ringo Hirth,Drums
Ringo Thielmann,"Bass, Vocals"
Rini Swinkels,Trumpet
Rino De Patre,Acoustic Guitar
Rino Lagona,"Reeds, Flute"
Rino Sangiorgio,Drums
Rino Zurzolo,Bass
Rinus Groeneveld,Tenor Saxophone
Rinus Steinbach,Bass
Rinus van Galen,Piano
Rinus Van Galen,Piano
Rinus Verbaarschot,Trombone
Rio Clemente,"Piano, Shaker, Synthesizer"
Rio Roberts,Vocals
Rion Smith,Drums
Rip Basset,"Banjo, Guitar"
Rique Pantoja,Keyboards
Rishard Scollo,Saxophone
Risto K Palanterä,Alto Saxophone
Risto Pelli,Piano
Risto Pensola,"Clarinet, Saxophone [Soprano, Tenor]"
Risto Riikonen,Guitar
Risto Salminen,Bass
Risto Vanari,Drums
Risto-Matti Marin,Piano
Rita De Cássia Silva De Araújo,Vocals [Children's Choir]
Rita Greene,Vocals
